                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.457,                0.63921,                 1.1772,                0.86628,                 0.8084,                0.84787,                0.38518,                 2.0408,                0.80313,                 1.6683,              0.0006965,              0.0006965,              0.0006965
                     82,                 1.4823,                0.65955,                 1.1708,                0.87776,                0.81562,                0.86136,                0.39218,                 2.0254,                0.80256,                 1.6459,                0.00068,                0.00068,                0.00068
                     83,                 1.4251,                0.62367,                 1.1638,                0.85213,                0.78937,                0.83427,                 0.3778,                 2.0715,                0.81092,                 1.6864,              0.0006635,              0.0006635,              0.0006635
                     84,                 1.4624,                0.64232,                 1.2037,                0.82993,                  0.771,                0.81462,                0.36295,                 2.1191,                0.81847,                 1.7385,               0.000647,               0.000647,               0.000647
                     85,                 1.4315,                0.63762,                 1.2093,                0.81575,                0.75328,                0.80174,                0.35422,                 2.1406,                0.82871,                 1.7776,              0.0006305,              0.0006305,              0.0006305
                     86,                 1.3972,                0.62788,                 1.1574,                0.82906,                0.77559,                0.82041,                0.36057,                 2.1265,                0.82094,                  1.774,               0.000614,               0.000614,               0.000614
                     87,                 1.4791,                0.65371,                  1.188,                0.82312,                0.77561,                0.80946,                0.35124,                 2.1286,                0.82282,                   1.77,              0.0005975,              0.0005975,              0.0005975
                     88,                 1.4282,                 0.6348,                 1.1515,                0.82057,                0.78412,                0.80124,                0.34491,                 2.1432,                0.82657,                 1.7635,               0.000581,               0.000581,               0.000581
                     89,                  1.399,                0.61845,                 1.1636,                0.81017,                0.76837,                0.78038,                0.33532,                 2.1692,                0.82775,                 1.7814,              0.0005645,              0.0005645,              0.0005645
                     90,                 1.4177,                0.60998,                 1.1315,                0.82298,                0.77165,                0.79607,                0.34672,                 2.1599,                 0.8185,                 1.7782,               0.000548,               0.000548,               0.000548
                     91,                 1.4283,                0.63722,                 1.1952,                0.79888,                0.75853,                0.77947,                0.33999,                 2.1818,                 0.8271,                 1.8196,              0.0005315,              0.0005315,              0.0005315
                     92,                 1.3518,                0.59442,                 1.1132,                0.80438,                0.76628,                0.78883,                0.34419,                 2.1743,                0.82322,                 1.8079,               0.000515,               0.000515,               0.000515
                     93,                 1.3739,                0.60457,                 1.1377,                0.83161,                0.79003,                0.81265,                 0.3498,                 2.1509,                 0.8189,                 1.7689,              0.0004985,              0.0004985,              0.0004985
                     94,                 1.3721,                 0.5872,                 1.1118,                0.81922,                0.79068,                0.80737,                  0.343,                  2.161,                0.83094,                 1.7777,               0.000482,               0.000482,               0.000482
                     95,                 1.3826,                0.59887,                 1.1446,                0.80354,                0.78902,                0.80517,                 0.3373,                 2.1801,                0.83804,                  1.802,              0.0004655,              0.0004655,              0.0004655
                     96,                 1.3572,                0.60626,                  1.134,                  0.804,                0.79944,                0.82286,                0.35427,                 2.1636,                0.82213,                 1.8034,               0.000449,               0.000449,               0.000449
                     97,                 1.3765,                0.61828,                 1.1986,                0.83796,                0.77953,                 0.8318,                0.36286,                 2.1621,                0.80408,                 1.8164,              0.0004325,              0.0004325,              0.0004325
                     98,                 1.3603,                 0.6078,                 1.1553,                0.84714,                0.79273,                0.84133,                0.37333,                 2.1465,                0.78027,                 1.8146,               0.000416,               0.000416,               0.000416
                     99,                 1.3526,                0.59668,                 1.1126,                0.85133,                0.80031,                0.84601,                0.38287,                 2.1317,                0.77074,                  1.812,              0.0003995,              0.0003995,              0.0003995
                    100,                 1.3374,                0.57905,                 1.1498,                 0.8343,                0.80315,                0.83917,                0.37763,                 2.1383,                 0.7738,                 1.8142,               0.000383,               0.000383,               0.000383
                    101,                  1.339,                0.58125,                 1.1375,                0.83474,                0.80643,                0.83959,                0.37457,                 2.1355,                0.77924,                 1.7993,              0.0003665,              0.0003665,              0.0003665
                    102,                 1.3195,                0.57006,                 1.1051,                0.83288,                0.80117,                0.83272,                0.37293,                 2.1275,                0.78834,                 1.7854,                0.00035,                0.00035,                0.00035
                    103,                  1.343,                0.58595,                  1.147,                0.82059,                0.78933,                0.81305,                0.36032,                 2.1482,                0.79768,                 1.8069,              0.0003335,              0.0003335,              0.0003335
                    104,                 1.3092,                 0.5806,                 1.1286,                0.81352,                0.78806,                0.80527,                 0.3547,                 2.1643,                0.80749,                  1.826,               0.000317,               0.000317,               0.000317
                    105,                 1.3131,                0.57443,                 1.1142,                0.82481,                0.78468,                0.80627,                0.35663,                 2.1633,                0.80416,                 1.8197,              0.0003005,              0.0003005,              0.0003005
                    106,                 1.2845,                0.57311,                 1.1019,                0.83687,                0.79106,                0.81537,                0.35802,                 2.1701,                0.78849,                 1.8208,               0.000284,               0.000284,               0.000284
                    107,                 1.2846,                0.56826,                 1.0956,                0.84056,                0.79462,                0.82013,                0.35895,                 2.1759,                0.77887,                 1.8286,              0.0002675,              0.0002675,              0.0002675
                    108,                 1.3445,                0.58184,                 1.1536,                0.83269,                0.78701,                0.81415,                0.35384,                 2.1875,                0.77446,                 1.8466,               0.000251,               0.000251,               0.000251
                    109,                 1.3196,                0.57016,                 1.1189,                0.82293,                0.77822,                0.80288,                0.34785,                 2.1961,                0.77218,                 1.8637,              0.0002345,              0.0002345,              0.0002345
                    110,                 1.2877,                0.55838,                 1.1349,                0.82352,                0.78084,                 0.8046,                0.35061,                 2.1906,                0.76945,                 1.8577,               0.000218,               0.000218,               0.000218
                    111,                 1.3025,                0.60864,                 1.1553,                 0.8211,                0.78304,                0.80575,                0.35011,                 2.1881,                0.77495,                 1.8553,              0.0002015,              0.0002015,              0.0002015
                    112,                 1.3171,                0.60671,                 1.1802,                0.82341,                 0.7815,                0.80621,                0.34936,                 2.1922,                0.77275,                  1.858,               0.000185,               0.000185,               0.000185
                    113,                  1.273,                0.58677,                 1.1667,                0.82283,                0.78281,                0.80761,                0.35043,                 2.1998,                0.77055,                 1.8642,              0.0001685,              0.0001685,              0.0001685
                    114,                 1.2893,                 0.5547,                 1.1489,                0.82667,                0.78609,                0.81139,                 0.3519,                 2.2012,                0.76599,                 1.8641,               0.000152,               0.000152,               0.000152
                    115,                 1.2495,                0.54779,                 1.1635,                0.82447,                0.78675,                0.81129,                0.35704,                 2.1985,                0.76293,                 1.8618,              0.0001355,              0.0001355,              0.0001355
                    116,                 1.2606,                0.55003,                 1.1597,                0.82227,                0.78627,                0.81099,                0.35915,                 2.1936,                0.76353,                 1.8592,               0.000119,               0.000119,               0.000119
                    117,                 1.2467,                0.54501,                 1.1242,                0.82335,                0.78294,                0.81082,                  0.362,                 2.1843,                0.76506,                 1.8543,              0.0001025,              0.0001025,              0.0001025
                    118,                 1.2367,                0.53847,                  1.115,                0.82597,                0.78937,                0.81775,                0.36644,                 2.1729,                0.76635,                 1.8471,                8.6e-05,                8.6e-05,                8.6e-05
                    119,                 1.2307,                 0.5482,                 1.1265,                0.82565,                0.79265,                0.82145,                0.36793,                 2.1666,                0.76724,                 1.8457,               6.95e-05,               6.95e-05,               6.95e-05
                    120,                 1.2469,                0.54441,                 1.1619,                0.82257,                0.79462,                0.81987,                0.36678,                 2.1623,                 0.7693,                 1.8463,                5.3e-05,                5.3e-05,                5.3e-05
